business_id,useful,latitude,longitude,stars_y,is_open,RestaurantsPriceRange,RestaurantsTakeOut,RestaurantsDelivery,WiFi,Trendy,Hipster,Upscale,Touristy,Free Parking,Regions,compound,comp_score
-lhHSR1Aws4CyYC1XOPVTw,0.0,27.9200036,-82.4994284,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9053,5.0
-rTJCKclkU_ZnoQb4oKa9w,0.5,27.820184,-82.655327,4.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.80465,4.5
-sSGKR1V1oBm7BJicIXozg,2.0,40.0060495,-75.7049884,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9634,5.0
-t9AIWJbQbpVKTV8Xoa5fw,1.0,39.9516934,-75.2673544,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9849,5.0
-wB5H63ERJ9S0oCp_ULR0Q,0.0,28.0163421,-82.7817959,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6631,4.0
-y5vYOsyL4bSFxeOtQtYbg,1.5,32.3244248352,-110.9316140628,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9268000000000001,5.0
-yu4koRugjxrnsey25oIuw,1.0,38.7493062,-90.3358309,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8823,5.0
-zsvmEbkd-K9K2DAAKqiEQ,0.0,27.969764,-82.829336,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9348,5.0
04UD14gamNjLY0IDYVhHJg,1.0,39.9380132,-75.1481307,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.916,5.0
07i5EdI8v2FBhVV-rya8Wg,0.0,27.9809251,-82.4855927,4.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9797,5.0
0DbIUh_Xuj6H5B_SF0RLCQ,0.0,39.8518617214,-86.3847577572,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8836,5.0
0JPi9cyV9i3_kDPj049_qQ,0.0,40.198562,-75.086663,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.97335,5.0
0JoB3ThhI-DS78-1Ks1EUQ,0.0,39.9242167,-75.1703845,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.81,5.0
0YiRkVMR2cg17hk9u6nGhg,2.0,38.5982131,-90.2367192,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9588,5.0
0_fd3nMhIVlJyLV76dTCAQ,0.0,36.0152661,-86.7034410685,2.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.091,2.0
0a8t_Th0jtWUMmtq0q2dqA,0.0,39.9531984523,-75.1928739332,3.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9894,5.0
0bPLkL0QhhPO5kt1_EXmNQ,3.0,27.9161159,-82.7604608,4.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.23629999999999998,3.0
0cB1kDuZCvSwpJrNdtQP8Q,0.0,39.7681769,-86.1596387,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.711,4.0
0hIXH9jMdHov1VrLC8ujUg,0.0,27.9592488,-82.4390309,4.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9656,5.0
0l_njS4wGMadAk1b4nZRUA,0.0,40.089985,-75.382315,2.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.974,5.0
0ndzIekJs0PRPA5Aoz9sow,0.0,30.0094943911,-90.1582181454,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7845,5.0
0pMj5xUAecW9o1P35B0AMw,1.0,40.141292,-75.389286,3.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9442,5.0
0qu0fNTOsSmuREYVIMPuIQ,0.5,34.5216257926,-119.8405629067,4.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93165,5.0
0sr1EyOc6Td1C-962QW88w,2.5,40.088398,-75.2926963,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.675,4.5
0wQCEcpZ57TmTm6EmEDsIw,0.0,38.7713448,-90.4865593,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.89425,5.0
0xe81EigRw_b5W8tg0Ca6Q,0.0,28.2771645,-82.673909,1.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7954,5.0
0yElmJZHbfRJt4gmdot8Og,0.0,35.871866,-86.8456237,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5296,1.0
0z-pNv_92L_-LiYV_XlcSw,2.0,32.2502273843,-110.8243817836,3.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8742,0.0
0z-unL2UdJn40PYiou2bnQ,0.0,40.0039604,-75.0225524,3.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9628,5.0
0zH0l4Jbf-oove3cLvrFOg,0.0,40.2280271,-74.9401945,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9207,5.0
0zWAsCBzvuCI_Ydx7yH1Jw,1.0,39.9346322655,-75.1551747608,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.7893,5.0
10wt8eSXI_PZfl9dRIiWmg,0.0,40.110566,-75.0238988,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9422,5.0
14ZGwnDyydXdSBsLXpSUrA,0.0,39.9483087,-75.2178905,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9627,5.0
17Y8circEnkMMXKfLo8Ztg,0.5,39.9346516,-75.1602726,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8118,4.5
18eWJFJbXyR9j_5xfcRLYA,0.0,34.3965102,-119.5216815,4.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9293,5.0
196CWwMAtAcA21jYiMyRzg,0.0,29.957225266,-90.0638432191,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8213,5.0
1E9o1SNo7UTf1XHTFPv1_Q,0.0,35.9326054453,-86.860662065,4.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8852,5.0
1Efad30BdOeqqjX2d6P4sw,1.0,28.0690372,-82.775979,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9615,5.0
1FURjeGJi_LBXcJQg8eskw,0.0,34.4068326,-119.5485827,4.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95245,5.0
1IjHo5kaSdFxJkJotU4O7A,0.0,27.88443,-82.48627,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9676,5.0
1JHPRGTHrrSIcKDGzsXddQ,0.0,39.714395,-86.354627,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6305,4.0
1JtpcHELRrSDoWS80WtzuQ,0.0,36.3222792,-86.7031195,4.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.93965,5.0
1MeIwdbTnZOBFCKOrgaxuw,0.5,38.6172724,-90.2127841,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10849999999999999,2.5
1NCUTTp6rIyXpwUDVv9qOA,0.0,39.9727751034,-75.1789870874,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.88765,5.0
1PYqegX1SruVbkCsRF-4lA,0.0,36.2177772,-86.6949403,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7946,5.0
1P_mGUY1PyPq7_ZabrzpBw,0.0,38.6243584,-90.1886849,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8806,5.0
1Pxg1AMf0rEn9QF__ZYoWw,0.0,36.1510902665,-86.8037759995,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9339999999999999,5.0
1SwfAYI1HGDyJKHmdRXI5Q,3.0,39.6932771775,-86.0810571749,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9856,5.0
1T9F7iLDFAYWJvif1RKneg,0.0,39.8245077,-86.2395526,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9344,5.0
1UNorskttXSWuEcgzKzXcA,1.0,39.9428742,-75.1456449,3.5,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.974,5.0
1_hDCN3iioFR3XnUr32ZtA,0.5,27.7718011011,-82.6369077739,3.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85615,5.0
1bJxvwuMTyXmQGu90WLPhA,0.0,38.766872,-90.493852,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9839,5.0
1ig2AJg8A08_XA3pFAMiRQ,1.0,35.9628414887,-86.8103084232,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.90155,5.0
1lXdhiMNyUxtBlEAeRYCvQ,0.0,35.9516098,-86.807833,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8488,5.0
1ol8rghO_5m0M5WFMv-C8Q,0.5,39.5357831889,-119.7373932944,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7513000000000001,4.5
1wC41D8PLqOldFPUVAZ3tA,0.0,38.6356545,-90.2407013,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.0772,2.0
29YqJwOGEuAWqlHZxMc1OA,0.0,34.4200355,-119.6968511,3.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9214,5.0
2A35Yi7mHQu9uT61M7VQow,0.0,36.230388,-86.725432,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8573,5.0
2Cd4sRn-dI0OkoLxmTi3bg,1.0,27.9602008,-82.4372809,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8253,5.0
2DsplH_vy4GCcEnVpn0AbA,1.0,39.768973,-86.153309,4.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6476,4.0
2KIDQyTh-HzLxOUEDqtDBg,3.0,27.7922562,-82.673539,4.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8752,5.0
2Q1R2OhBbAQ581vK_r7NhA,1.0,40.1566693,-75.121837,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9485,5.0
2XYPFRm7teCUr3eGsB2-qw,0.5,40.1504078852,-75.3046250167,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9149,5.0
2bl6G1zgXUHbMGwEocqMSg,0.0,34.4196204,-119.6767648,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9348,5.0
2brttsiFBlW8070dsPzQDA,0.0,39.769421,-86.1595979,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9171,5.0
2cpdYwMOeKQtiMDvm39nKg,0.5,32.264711,-110.931879,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93415,5.0
2er_V-oAd7IbQ5YTY56r7A,0.0,39.9489334,-75.1595088,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.8392,5.0
2fTfpN5SggLgW4LlzptMPg,0.0,53.5410214625,-113.4992408752,4.5,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.765,5.0
2iQucreJtTqbEsLczhsgrA,1.0,39.830272,-86.242362,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9891,5.0
2jvmqojTdrdj3YboXzKRcw,1.0,40.0341555,-75.6335018,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.6901,4.0
2nUzpVFZVyGoD-RVhz-1KA,0.0,38.5783262163,-90.4062532216,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.326,4.0
2rQFgavS-942RapZTBSBTw,1.0,40.025857,-75.325628,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.61565,4.5
2tg6sMQr9rrXVXmgrqBYmg,0.0,27.874373,-82.640223,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.8074,0.0
2vAqYNN86VWXZiy2E96-TQ,0.5,32.2324455,-110.9516985,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37495,3.5
2x3wM06LEbaAR81AeKk44w,1.0,38.598915,-90.243148,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9831,5.0
2y_CdkxEOJEJGyJApfCYpA,2.0,39.7532524,-75.3024859,3.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.4348,4.0
2zocwC7qMq3LsivPn9Z-Eg,0.0,40.044301,-75.388243,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7499,4.0
34Eqv8jXgxg_EEwcsNgeeg,0.0,34.4151137,-119.6944966,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8944000000000001,5.0
37yDMpWI6HBO2iW8slv7_Q,1.0,38.6592269326,-90.338040106,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8687,5.0
3BJxm-HnvzdwD1zjmSbmyQ,0.0,39.963077709,-75.1680274529,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7326,4.0
3C9l3PNoadQ9U2JEb-Qtpg,0.0,39.97782529,-86.14639061,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9565,5.0
3CsBRtDT5WOUu8IY0mHhXw,1.0,40.0096537,-75.1954732,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5709,4.0
3ICKvnjPqlnelsJ-WJntmw,5.0,38.6474137,-90.3393029,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.9692,0.0
3OGzmGqWwsyGLkhnxrA9Pw,0.0,27.937948,-82.484684,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9294,5.0
3PlpoDgeAQAreL8FM2LelA,0.0,39.5118968857,-119.806008659,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9114,5.0
3SHw4aZW_muE1kRSLQQjjA,0.5,27.93555,-82.50543,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12140000000000001,3.0
3YERGr7UbpSpddqL0Eiu5g,0.5,32.3370125,-111.0542141,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7718,4.5
3_kZ2pDiKJLZ9kGKKOWqdA,0.0,39.8658758188,-75.3417693079,2.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
3hlI68hS0pKFY6_rK5UU_g,0.0,27.8939748,-82.5022832,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9673,5.0
3kiB39JzdovdlOhQj-nMCw,0.0,39.9366969,-75.1614094,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7422500000000001,4.5
3m72qrDirMZDOhaG3FR6HQ,0.0,39.848349,-74.976908,3.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9067,5.0
3sdlpskDaXr1P59BYjGoFw,0.0,39.9512536,-75.1661282,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2617,4.0
3wogQmKw729tKKWaVbZvbg,2.0,29.960059,-90.059223,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9335,0.0
3y61A28PQDZ4weeeTRfIlA,0.0,39.7643833,-86.1588649,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9515,5.0
4-y4Jj8hNuVIFktoYnm3-Q,0.0,39.9108087,-86.1081565,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8574,5.0
45siW2fI0Cuv5ZKCS23knA,0.0,27.771344,-82.643026,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9237500000000001,5.0
46_2e1hnQ4csLrYnhn6bkw,1.5,39.9408715785,-75.1510468125,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9435,5.0
4BVjCMSKc4eJGfJldPB_hA,0.0,53.498819,-113.486856,3.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8591,5.0
4EDFnzdMBdrL4tujAA2QZQ,0.0,40.0575027,-75.0525701,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9765,5.0
4FaYG9qKDpDyr68bKmaIEw,0.0,43.6135729,-116.1999038,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9557,5.0
4JQ0hePJAlBepDzb20_32g,0.0,27.704314281,-82.4425658705,3.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1954,3.0
4NidY2tw42l6iobbtai_kA,0.0,29.9450631,-90.0672652,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9492,5.0
4RMHlggaIdNibPUJPVEd6w,0.5,39.95528,-75.18251,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.69585,4.5
4SQ5uczVt66-GGGeNQRfEA,0.0,39.9484876,-75.1442086,2.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.72745,4.5
4WdDY97x4GdMYtyk1KQMnw,1.0,29.932123,-90.0735046315,4.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91545,5.0
4_W5pstoN1166TGjjPOrMg,0.0,39.9613018,-75.1593118,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.9546,5.0
4ajMQOHEfdHma8deYOXr1A,0.0,28.0151277298,-82.1230073435,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9725,5.0
4fQPIhCh2bUJBZcxQlLGFQ,0.0,39.9627670692,-86.117717809,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8797,5.0
4fUok5d5vgdQEb1Bzzg0rA,0.0,30.0200051249,-90.2493493809,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9582,5.0
4s4KAGJgtpZn9cgtdWcOmw,0.0,39.7015643,-86.0819653,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4482,4.0
4ulvTVp4_eXb3XVMrXfRyQ,8.0,27.778450803,-82.6294136794,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9596,5.0
4xEJiEQERBvr2jAZQSeF2g,2.5,38.6022635,-90.2425258,3.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9814,5.0
4yKv0SEpuJDHECFinhifWQ,2.0,43.595022,-116.214032,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9905,5.0
50TGaB-hcv4R3QiWUmIP_w,0.0,39.763322,-86.157723,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8515,5.0
5AOkxsg6UJQ_CoJTMBDUmQ,0.5,29.983468,-90.098151,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97665,5.0
5Ce3lZksYVkCbrihqylVHQ,1.0,32.222552,-110.788132,4.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97675,5.0
5FDt7sy-70y4_37Dh2qcbw,0.0,39.7523127,-86.140383,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9246,5.0
5PBG7G0pRmHEpHLSP51Kuw,3.0,40.0376879,-75.3516937,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9235,5.0
5QKzE17vyeQbxtZs-yKV1g,1.0,40.041541,-75.4793663,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-0.04199999999999998,2.0
5RtAJPXFLTzwALIe1mtNuA,0.0,39.7470696,-75.6986818,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7964,5.0
5TVWytR2oNbSKYgfxypuBw,0.0,38.6197152,-90.2556467,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8462,5.0
5Z-z5-ZYmrJ8RW_oOpp9lQ,1.0,40.1352041985,-75.4517551692,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9195,5.0
5cpiSREZioyiHVHXJ9WRqA,1.0,36.1640086619,-86.7784373214,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9625,5.0
5cz1XbgalpQ89gsNQwneVQ,1.0,27.9955961525,-82.5828616138,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9703,5.0
