,index,review_id,business_id,useful,text,date,name,address,city,state,postal_code,latitude,longitude,stars_y,is_open,RestaurantsPriceRange,RestaurantsTakeOut,RestaurantsDelivery,WiFi,Trendy,Hipster,Upscale,Touristy,Free Parking
19,27,TP0HYy4GqYtrWMlFIhxw3A,LHSTtnW3YHCeUkRDGyJOyw,4,"We arrived a few minutes early for a 7pm reservation. When we asked for our table, both hostesses looking at their paper, then said they'd have to go check and would be back. 5 minutes later, they returned and did not acknowledge us. Meanwhile, another large party arrived without a reservation and were told it would be a 40 minute wait. We then heard one hostess say to the other that she didn't want to seat them soon because the kitchen was backed up and people were waiting 40 minutes for their appetizers. So unprofessional.
We walked up again, after they continued to ignore us, and asked about our table. They weren't apologetic when they told us that the girl we spoke to earlier that day was new and never recorded our reservation. They continued to tell us that it would be at least a 20 minute wait before they could put our table together. We got a smug ""I'm sorry, but she was new"" and they brushed us off.
I really understand that sometimes things just don't go the way they were supposed to and that people make mistakes. However, a little customer service would have gone a long way. Offer us some water, or a seat at the bar or say that you're doing everything you can to get us in as soon as possible. They basically blew us off and blamed it on the new girl. 
Needless to say we left and I will not be returning.",2016-05-31 01:58:22,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,,,1,0,0,0,0,1
20,28,RkXe6gzU6bfut_Q2W2NpbA,LHSTtnW3YHCeUkRDGyJOyw,0,This is one of my favorite restaurants. They have the best burgers and the most amazing unique menu and a delicious selection of craft beers. Love coming here great food great time.,2017-12-02 23:28:30,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,,,1,0,0,0,0,1
21,29,Wv6ty8iRgaPtqRzQXQiDaA,LHSTtnW3YHCeUkRDGyJOyw,0,"Let me start by saying that my wife and I are vegetarians, so eating most of their more popular dishes isn't possible. But so far what we've been able to eat we've really enjoyed. Our normal visit consist of overindulgence on appetizers. 

The pretzel bites are amazing. Same thing with the grilled brie, apple and honey sandwich (we ditch the bacon...I know, sacrelidge!). But the star of the show is always the fries. We usually get the Smack fries which are outstanding. Also a fan of the fried pickles. 

Misses so far have been the veggie quesadilla (bland and ordinary) and the spinach artichoke dip (pasty and again rather plain). 

Their beer and drink selections are wonderful. 

Only negatives in two visits is the sometimes slow staff (even when not busy) and old ass dilapidated parking lot.",2018-03-23 23:22:00,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,,,1,0,0,0,0,1
22,30,w0cb9xwH5KSgtTpP3DcIVg,LHSTtnW3YHCeUkRDGyJOyw,1,"I wrote this a while ago but never posted it for some reason. Tonight was our first time here & it was excellent! The beer selection was amazing. Our server was great as well. My wife & I split the fried pickles, with the chipotle ranch dipping sauce, and a dozen wings, half 309 recipe & half extra hot. The wings were very good but I could have used a little extra sauce just because that is my preference. The fried pickles were very good but could have been a little more crispy. The chipotle dipping sauce was awesome. My wife & I then split the Belly Buster Burger special, 2 cheeseburger patties, a HUGE slice of pork roll, homemade Thousand Island Dressing & fries! It was awesome! It also came with fries on the side with homemade ketchup as well as homemade chipotle ketchup. Both were amazing. I love ketchup & usually don't like homemade ketchup but theirs was excellent Can't wait to go back!! 

Have been back here a few more times & even ordered take out 3-4 times. It has never disappointed.",2016-01-30 15:55:07,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,,,1,0,0,0,0,1
23,33,l3Wk_mvAog6XANIuGQ9C7Q,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Locals recommended Milktooth, and it's an amazing jewel of Indianapolis. I'm glade I had the chance to experience this.",2015-08-19 14:31:45,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
24,34,940tqxFO4Pwg_KMg4Y4Z5g,EQ-TZ2eeD_E0BHuvoaeG5Q,2,"Milktooth is the place to go if you want a good breakfast cocktail and a twist on traditional brunch. At first glance of the menu, you may think you've never heard of any of these foods for breakfast, and you may be right. I guarantee no matter what you order, you're going to enjoy it. 

Milktooth is one of the most popular brunch places in Indy, which means you will typically have a wait. Trust me, it's worth the usual 30 minute wait (on weekends). To make it go by a little faster, they've got a walk up bar for their coffee drinks and pastries. Snack on one of those to give you a preview of the amazing meal you're about to have.

Their menu changes from time to time but they have a few things that stay one the menu but change ingredients. I love all of their variations on a Dutch pancake, and their raclette grilled cheese is to die for.  If you're making this a boozy breakfast, don't pass up on the michelada. And sit outside if it's warm enough!",2018-01-10 01:48:58,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
25,35,S-H-Ao17MEYH9cLpvevbnQ,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Busy place, but we were offered extra- special coffee while we waited. No sooner than it was ready, so was our table. The server was welcoming and offered suggestions for us after we made her aware of some dietary restrictions. My daughter and I shared a salad, entree, and Special grits. Every bite was delicious, beautifully presented, and reasonably priced as downtown prices go. We like this restaurant a lot.",2016-06-11 21:41:05,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
26,36,qNwMUWWtHiTrno15lcX_vw,EQ-TZ2eeD_E0BHuvoaeG5Q,0,Creative food and good. We get coffee or tea while we wait to be seated and even that is a cut above.  We love their Bloody Marys too.  Always interesting and an adventure.,2018-03-04 03:37:44,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
27,37,3jnhCyBDfJ8cWewtlUZaFg,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Amazing and comfortable atmosphere with extremely unique flavor combinations in the dishes. The Cuban Lamb Frita is a must (add the egg! It's worth it). All of the side items are delicious, you literally can't go wrong. The staff is friendly and they are extremely efficient with the coffee refills. This has quickly become my new regular brunch spot!",2015-08-30 16:58:58,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
28,38,bc_dfXPJsnWNmla3rSMwdw,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Dayum, that was a good burger. Juicy, glistening melting with cheese - simplistic yet tastes completely different from other burger joints due the quality of the ingredients. Bacon looks good in pictures, but it was a too thick of slice of puuuure white fat, if it would have melted in my mouth it would have worked but it didn't therefore just felt sinful, in a bad way. 

Unfortunately, this communal table trend has got to go. 
I hate it, it's a crap shoot on who your going to get to sit next to and basically listen to a complete strangers stupid conversations. Terrible idea.",2018-09-03 09:08:05,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
29,39,MBDGL1ScIJkDInhBB-vbFQ,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Went for brunch and arrived around 11am. It was crowded already but we were seated at the counter immediately. We started with the Bottomless Drip coffee and Apple Fritter donuts. Loved the donuts and the coffee's flavor was solid, but it could have been hotter. Although, on the plus side, I didn't have to wait for it to cool down before I could drink it. Our desert was followed by the cheesy blue corn grits with all the extras (I.e. a soft poached egg, scallions and bacon bits). I'm late to the grits game but I loved them. My lovely wife had the bialy (think bagel) and lox, and miso soup. She is more of a foodie than me and a chef to boot. She was quite pleased. Service was average to good. It was cool sitting at the  counter. We got to watch the chefs in action. There was a taller female that was very focused and professional, more than most. When she wasn't cooking she was prepping and/or cleaning. Not sure why this wasn't a five star rating, probably the average service. In the end we had a great dining experience. It was pricey but you pay for what you get.",2017-03-03 21:27:03,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
30,40,ITXPVBkiaZAVbpLsx4M_Ww,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"This place is bananas. I've never had anything bad and most of the time my mind is blown by the innovation and deliciousness of the food. Occasionally I am disappointed by the size of a dish but generally not. 

Service is top notch although not terribly fast. Expect to wait awhile for a coffee drink other than brewed coffee but it will be worth the wait. 

Love the building. Love that the menu changes regularly although sometimes I miss an old favorite. 

Wait for seating can be longish so don't go if you're in a huge hurry. They do have a counter and a community table, which speed things up a bit if you don't mind that.",2015-11-06 02:59:18,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
31,41,_9C_vERT1TU1B_HScLPrdA,EQ-TZ2eeD_E0BHuvoaeG5Q,11,"I went to Milktooth over the weekend and I really wanted to love it but it was just okay.  I read through a few of the reviews before going and wasn't surprised that they were out of the fried chicken when I got there.  I wasn't planning on ordering it anyway but someone in my group tried to.  

I ended up going with the lamb patty melt and while it was good...it wasn't great.  I love having an egg on my sandwich so that was a highlight.  The lamb wasn't that great and it tasted like they combined the lamb meat with some sort of sausage but it don't state so on the menu.   The french fries were good but nothing special.  The lamb stew was the other item I was considering getting so maybe it would be worth going back and trying that.  

If you're a vegetarian you probably want to avoid this place all together because it's not very veggie friendly.  And don't think you can go and order something (like the waffle) without the bacon because your requests for revisions will be ""politely declined"" as it states on the menu.   I like that they tell you ahead of time but it doesn't seem like it would be a terrible thing to request that the cook doesn't sprinkle the bacon on top of the waffle. 

They do have some very interesting drinks and I would consider going there to grab a coffee because the process for coffee seemed to be quite intricate.  

I will say that the their menu has changed since they opened and a lot of what was mentioned in previous reviews is no longer on the menu.",2014-10-27 13:48:47,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
32,42,QvL65iSgxT44s-f-LaFPYA,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"I ordered the shaved zucchini salad- it had a blue cheese yogurt, candied beets, pistachios (I think?) and some greens. Kind of small for $12, but it was good!

Also had the beausoleil oyster with chopped cucumber and some kind of mignette- delightful and you can buy them individually so you don't have to get a full order like many places!

The rose sour cocktail was right up my alley- slightly sweet and made with bubbles- how could I not like it?

We also ordered the sorghum bacon- thick cut like pork belly- sweet sauce! Yummy! 

I really LOVE LOVE LOVE the decor and atmosphere here, eclectic industrial and slightly vintage- so super cute!  

The menu changes quite frequently so be sure to check back often!",2015-08-19 17:50:15,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
33,43,X2YqdHIaeq5ZO71gJ5DdBw,EQ-TZ2eeD_E0BHuvoaeG5Q,0,Great place!!! Always surprise me whenever I visit. I little bit pricey but definitely worth occasionally visiting. Best house made pastry series I ever had in Indy. I feel Coffee actually became second priority here compared to the food. Warning! It can be Qqqquite busy sometimes.,2015-04-15 13:41:37,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
34,44,q6L-YxEbXCA9v-7Ly5t-EA,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Get the bacon. Get the coffee. Get the pancakes. Get everything. 
(Get your wallet ready too cuz it's not cheap).
Milktooth fulfills all your hipster brunch dreams - from the tatted chefs to the cool-clothed waiters to the converetrd garage dining area. It seems like a pretty exclusive team. However, once you order and wait (for a bit despite the slow Tuesday afternoon), the taste is so worth it. My table got the berry pancakes, the savory pancakes, and the grilled cheese with truffles. I also got the bacon, which came out in thick fat slices. Its probably the best bacon I ever had. 
The mango smoothie rivaled a mango lassi, and everything was really delicious. 
uffle oil with aged cheddar grilled cheese. The grill cheese had the perfect savory combo of sweet n salty topped with an egg cooked just right. You can't get more flavorful than this 
I definitely think this is one of those restaurants that everyone should visit!",2016-07-25 07:24:41,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
35,45,SZ-wvMItkUd-PF-5yK2y0g,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"The breakfast menu and pastry menu changes so some visits I have liked more than others, but I love the way they do there menu, the overall quality is top notch. The food is funky and creative. I would not say its an every weekend brunch spot with the old reliable eggs florentine​/pancakes but it is fun and I love coming here from time to time. Beware the line can get long but they have very good coffee and pastries​ to hold you over while you wait.

p.s. The restaurant​ vibes are great!",2018-05-19 02:27:31,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
36,46,U7HNZQLJYucAqhBEP9w_Ug,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"I love the atmosphere here, and the food is toothsome. All ingredients are incredibly fresh and the dishes are thoughtfully prepared. Their coffee is also excellent.",2015-11-06 03:39:50,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
37,47,uYPIsR2sDh040XrO5aT8kg,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Excellent food, terrible service. The food is always fabulous, so much so that it would receive a 4-star if the service were good. Each time we have been in it takes 10 minutes to get water and your drink order placed. Then the food for the whole table never comes out together, normally one person is waiting on his/her dish. The ambience and decor is fabulous and I hope with time the service gets on par with the food.",2015-01-18 17:06:36,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
38,48,4otbWUshStc2jchCH3azvw,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Never, ever disappointed here!  Jonathan is a master of combining unexpected favors, textures, and unique ingredients to yield a mouth orgasm.  Oh yes!",2016-10-14 11:42:16,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
39,49,3ek8B6sukcnunvguNSsulg,EQ-TZ2eeD_E0BHuvoaeG5Q,3,"During that Final Four weekend, I was trying to go to Yolk but failed to find a parking spot. I stopped and did some Yelping and found Milktooth at Fountain Square. 

When I arrive, I ended up with 30 minutes waiting. I was pleased because this usually means good food. I love waiting for seats. 

I ended up sitting at the bar to see the awesome chef cooking for everyone in the restaurant. I ordered the Lamb Patty Melt, Drip Coffee and Donut Balls. 

Drip coffee was the best coffee I've had for months. Maybe I do need to find something else other than Starbucks. 

Lamb Patty Melt was a little hard to grab so I ate them as a toast + the rest of the sandwich. It has the right amount of lamb flavor and the bread was awesome. So was the fried egg. 

Waiter was super friendly and he had two fried egg sewed at his shirt sleeves. Now I need to do some shopping to find sleeve patches that interesting.",2015-04-15 19:32:52,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,,,1,0,1,0,0,1
